Entity,Country Code,Continent Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Argentina,ARG,SA,1990,0.1944222159,0.7556740264,0.3236859203,6.16592127,0.9194244479,3.569179857,1.91893853
Argentina,ARG,SA,1991,0.1941840915,0.7563857276,0.3269037544,6.174471331,0.9203232685,3.579067521,2.022040216
Argentina,ARG,SA,1992,0.1940340218,0.7571391353,0.3305035865,6.182707419,0.9212963381,3.588854632,2.116046805
Argentina,ARG,SA,1993,0.1939725295,0.7579091345,0.3342859384,6.190356058,0.921620296,3.597365719,2.193306602
Argentina,ARG,SA,1994,0.1940037612,0.7586859658,0.338418396,6.197271236,0.9215811762,3.606913186,2.246206073
Argentina,ARG,SA,1995,0.1941232872,0.7594335609,0.3420515798,6.203264873,0.9210082387,3.615923964,2.266896963
Argentina,ARG,SA,1996,0.1944171769,0.7602367261,0.3475888327,6.207523426,0.9188348191,3.626560304,2.26802254
Argentina,ARG,SA,1997,0.1949032317,0.7611848652,0.3530549314,6.21028378,0.9147141715,3.636296096,2.267956985
Argentina,ARG,SA,1998,0.1954628103,0.7621847448,0.3589885966,6.212471561,0.9098563748,3.643305809,2.267221453
Argentina,ARG,SA,1999,0.1959648252,0.7631062688,0.3638139356,6.214768569,0.9065645932,3.652057396,2.266152499
Argentina,ARG,SA,2000,0.1962894305,0.7638770417,0.3658397563,6.218308934,0.9047380693,3.657304606,2.265180732
Argentina,ARG,SA,2001,0.1964265811,0.7648845676,0.3653038876,6.225155283,0.908681379,3.658839104,2.264304235
Argentina,ARG,SA,2002,0.1964967066,0.7664158379,0.3649912027,6.235853072,0.9151566504,3.65897137,2.262875484
Argentina,ARG,SA,2003,0.1965180423,0.7680161829,0.3633725534,6.247079382,0.9236707292,3.658181304,2.259730743
Argentina,ARG,SA,2004,0.1965374082,0.7693428161,0.3625466518,6.256248554,0.9326593517,3.657001679,2.254093682
Argentina,ARG,SA,2005,0.1965882671,0.7700108214,0.3628427665,6.260736248,0.9371959243,3.655549395,2.244914288
Argentina,ARG,SA,2006,0.1967131291,0.7701853397,0.3641320281,6.261818888,0.9411327965,3.653175208,2.196386688
Argentina,ARG,SA,2007,0.1969303131,0.7704143811,0.3677608278,6.263549413,0.9444491215,3.651585534,2.096837166
Argentina,ARG,SA,2008,0.1971801974,0.770660786,0.3724712151,6.265571833,0.9479896389,3.649862314,1.980933302
Argentina,ARG,SA,2009,0.1973995219,0.7708773272,0.3780550086,6.267259288,0.9507961393,3.647560385,1.883427985
Argentina,ARG,SA,2010,0.1975414021,0.771083777,0.3811851993,6.26871788,0.9550347973,3.647930393,1.839167894
Argentina,ARG,SA,2011,0.1976166974,0.7712512481,0.3840783212,6.269781851,0.9584959332,3.64749915,1.833472433
Argentina,ARG,SA,2012,0.1977106521,0.7715224423,0.3881993729,6.271652797,0.9641450629,3.648385273,1.828883062
Argentina,ARG,SA,2013,0.1978006623,0.7718206117,0.3908264287,6.273678758,0.9712571083,3.651043597,1.825345754
Argentina,ARG,SA,2014,0.1978919572,0.7721754632,0.3948665562,6.276019871,0.9793286073,3.654178219,1.823080077
Argentina,ARG,SA,2015,0.1979780112,0.7725675406,0.397997794,6.278538229,0.9879983888,3.657683138,1.822172282
Argentina,ARG,SA,2016,0.1980416633,0.7729477071,0.4011075599,6.280932419,0.9990985445,3.661311853,1.822573101
Argentina,ARG,SA,2017,0.1980936923,0.773376024,0.4040331631,6.283677861,1.00890084,3.665488272,1.824514659
Australia,AUS,AUS,1990,0.3604885638,1.129134447,0.7000905252,6.52529437,2.133236149,4.621186588,1.352910164
Australia,AUS,AUS,1991,0.361195682,1.132646913,0.7041087481,6.519968278,2.185893106,4.671932879,1.392997456
Australia,AUS,AUS,1992,0.3618925134,1.135935542,0.7080008176,6.513663308,2.235080411,4.715412262,1.430157923
Australia,AUS,AUS,1993,0.3625239721,1.138790261,0.713707948,6.505451924,2.275938891,4.754453766,1.462686464
Australia,AUS,AUS,1994,0.3630006154,1.140926531,0.7195081702,6.494057205,2.308155025,4.783948341,1.488673107
Australia,AUS,AUS,1995,0.3632594425,1.142136995,0.7252937839,6.478469081,2.32889826,4.804053117,1.50630991
Australia,AUS,AUS,1996,0.363434883,1.142788111,0.7334811487,6.45637984,2.343328213,4.810793573,1.51942273
Australia,AUS,AUS,1997,0.3637088658,1.143479718,0.7460916198,6.430589826,2.359423638,4.810776131,1.532103804
Australia,AUS,AUS,1998,0.3640295736,1.14414088,0.7615519602,6.406341833,2.375713857,4.801317069,1.54301173
Australia,AUS,AUS,1999,0.3643430972,1.144737027,0.7773219859,6.389211373,2.386831061,4.796896412,1.55070728
Australia,AUS,AUS,2000,0.3646087379,1.145252627,0.791917664,6.384728149,2.388356001,4.80322412,1.553825581
Australia,AUS,AUS,2001,0.3649950912,1.145960576,0.8083473821,6.417576085,2.360694268,4.823556565,1.543208539
Australia,AUS,AUS,2002,0.3656016848,1.147003112,0.8282310405,6.491120312,2.297017238,4.854391887,1.517320532
Australia,AUS,AUS,2003,0.3662737575,1.148157915,0.8503757766,6.578489132,2.215742305,4.892316839,1.486346876
Australia,AUS,AUS,2004,0.3668237179,1.149127127,0.8704397491,6.652205803,2.137956715,4.920485778,1.460323977
Australia,AUS,AUS,2005,0.3670783928,1.149604444,0.8842592778,6.684743125,2.086480128,4.929038256,1.449450516
Australia,AUS,AUS,2006,0.3669685751,1.149699543,0.8963827064,6.681045683,2.056730319,4.923528161,1.45395798
Australia,AUS,AUS,2007,0.366635315,1.149731306,0.9065801262,6.667900351,2.027428998,4.906827297,1.464827412
Australia,AUS,AUS,2008,0.3662039244,1.149689315,0.9155718868,6.650490525,2.003807513,4.882333647,1.478266544
Australia,AUS,AUS,2009,0.3658130544,1.149595727,0.9234550662,6.634350116,1.991759024,4.857927125,1.490525015
Australia,AUS,AUS,2010,0.365597517,1.149425142,0.9280426812,6.624616879,1.993151133,4.834220383,1.497866975
Australia,AUS,AUS,2011,0.3654637799,1.149079064,0.9319346081,6.61950319,2.007702912,4.81362237,1.501283772
Australia,AUS,AUS,2012,0.3652452126,1.148472992,0.9357595141,6.614106598,2.032422348,4.790079667,1.504313939
Australia,AUS,AUS,2013,0.3649422485,1.14759315,0.9391755305,6.608197992,2.068834852,4.75968633,1.506864441
Australia,AUS,AUS,2014,0.3645767515,1.146474516,0.9416608084,6.602040546,2.114377222,4.731141977,1.508926379
Australia,AUS,AUS,2015,0.3641632011,1.145129802,0.9432061986,6.59569131,2.170633606,4.696774006,1.51043437
Australia,AUS,AUS,2016,0.3637426336,1.143668679,0.9439906069,6.589756626,2.237198384,4.659817333,1.511464753
Australia,AUS,AUS,2017,0.3633263334,1.142097012,0.943081004,6.584301177,2.315142073,4.623880986,1.511935142
Brazil,BRA,SA,1990,0.20055831,1.093153293,0.2330119299,5.56994,0.9434059295,3.534531592,2.416658957
Brazil,BRA,SA,1991,0.2009314751,1.094518289,0.2337136053,5.563857004,0.9479670382,3.529751086,2.422741033
Brazil,BRA,SA,1992,0.2012812043,1.09584346,0.2345708205,5.563495385,0.9521206433,3.531068103,2.433287828
Brazil,BRA,SA,1993,0.2015871062,1.097048489,0.2354555846,5.567271108,0.955400055,3.537037284,2.447223399
Brazil,BRA,SA,1994,0.2018344452,1.098076164,0.2365091876,5.573641064,0.957739271,3.544955695,2.463527086
Brazil,BRA,SA,1995,0.2020044274,1.098843791,0.2373140427,5.580976563,0.958947442,3.553949338,2.481157382
Brazil,BRA,SA,1996,0.2021109324,1.099408548,0.2384040334,5.632947358,0.9595507233,3.613852954,2.513058144
Brazil,BRA,SA,1997,0.2021897023,1.09989645,0.240256148,5.749887836,0.9602182763,3.746093207,2.564112578
Brazil,BRA,SA,1998,0.2022503435,1.10030767,0.2421990873,5.895317524,0.9608225457,3.90235214,2.621187053
Brazil,BRA,SA,1999,0.202299777,1.100633712,0.2438326699,6.0326694,0.9616618228,4.034842123,2.670994491
Brazil,BRA,SA,2000,0.2023480003,1.100882037,0.2451532735,6.125478613,0.9622728242,4.097776146,2.700238347
Brazil,BRA,SA,2001,0.202414479,1.101135,0.2460115459,6.189375393,0.964258537,4.106734568,2.707953471
Brazil,BRA,SA,2002,0.202504231,1.101450407,0.2468440302,6.257604356,0.9681246422,4.110734349,2.705431858
Brazil,BRA,SA,2003,0.2026085391,1.101807792,0.2475948755,6.320208972,0.9725040671,4.109455893,2.697841605
Brazil,BRA,SA,2004,0.202716484,1.102166901,0.2485812135,6.367079338,0.9766912741,4.102728873,2.690265346
Brazil,BRA,SA,2005,0.2028186535,1.102488924,0.2496686216,6.388077873,0.979773017,4.090663864,2.687806907
Brazil,BRA,SA,2006,0.2030197181,1.102972735,0.2513112118,6.392372494,0.9860633896,4.027395017,2.691150547
Brazil,BRA,SA,2007,0.2033731357,1.103756467,0.2540807705,6.395706133,0.9978768645,3.89557776,2.696484519
Brazil,BRA,SA,2008,0.2037904663,1.104678758,0.2571580872,6.397379792,1.011868233,3.735730072,2.702301922
Brazil,BRA,SA,2009,0.2041720017,1.105516787,0.2602956919,6.396335726,1.024538056,3.588453596,2.70694084
Brazil,BRA,SA,2010,0.2044232118,1.106080315,0.2628123243,6.39171076,1.032366829,3.497158735,2.708814357
Brazil,BRA,SA,2011,0.2045776621,1.106378257,0.2649753403,6.377567342,1.036563897,3.449546991,2.708269794
Brazil,BRA,SA,2012,0.2047398625,1.106618192,0.2672341248,6.350156995,1.040600438,3.40806811,2.70670727
Brazil,BRA,SA,2013,0.2049068143,1.106805279,0.2693456384,6.311100044,1.04511949,3.37192561,2.704130271
Brazil,BRA,SA,2014,0.2050726257,1.106927943,0.2713475607,6.261913454,1.049781494,3.342010969,2.700511101
Brazil,BRA,SA,2015,0.205234704,1.10698786,0.2733660951,6.204157856,1.054041109,3.319423051,2.695874807
Brazil,BRA,SA,2016,0.2053910741,1.106987934,0.2753013349,6.139400567,1.058309969,3.304642844,2.690277078
Brazil,BRA,SA,2017,0.2055340398,1.106914712,0.2770507653,6.069179504,1.061681334,3.29736759,2.683580505
Canada,CAN,NA,1990,0.3138945154,0.7160746566,0.442651692,5.538490814,1.802015851,4.08951474,1.529049679
Canada,CAN,NA,1991,0.3140183952,0.7163830425,0.4423076983,5.540824036,1.811852014,4.097314354,1.518659977
Canada,CAN,NA,1992,0.3141384114,0.7166930984,0.4416884395,5.54339867,1.830119385,4.10566137,1.510788412
Canada,CAN,NA,1993,0.3142479896,0.7169875663,0.4421788227,5.54600147,1.854861438,4.111714569,1.505523935
Canada,CAN,NA,1994,0.3143284569,0.7172230518,0.442958936,5.548263496,1.882812278,4.117475676,1.502865859
Canada,CAN,NA,1995,0.314364263,0.7173488097,0.4435470503,5.549673391,1.912995991,4.120523931,1.502929898
Canada,CAN,NA,1996,0.314401457,0.717472779,0.4442860524,5.492731719,1.974224124,4.124001685,1.508240019
Canada,CAN,NA,1997,0.314451904,0.7176199699,0.4448092001,5.355030247,2.071110075,4.128427231,1.518930119
Canada,CAN,NA,1998,0.3145169448,0.7177928458,0.4466125255,5.190199686,2.178491841,4.131973093,1.531817874
Canada,CAN,NA,1999,0.3145839102,0.7179778889,0.4479291663,5.051829077,2.267820608,4.134097763,1.543611845
Canada,CAN,NA,2000,0.3146284098,0.7181031401,0.4491419083,4.993251041,2.30997155,4.131314183,1.551039323
Canada,CAN,NA,2001,0.3146503755,0.7178772084,0.4507820585,4.992784882,2.31748754,4.116601871,1.555572148
Canada,CAN,NA,2002,0.3146626259,0.7172049943,0.4545205794,4.99294543,2.318948288,4.085413809,1.560563483
Canada,CAN,NA,2003,0.3146700075,0.7163770615,0.458292999,4.993632737,2.318491843,4.04682458,1.565578765
Canada,CAN,NA,2004,0.31467004,0.7156728727,0.4622919087,4.994661436,2.313770455,4.011866886,1.57014075
Canada,CAN,NA,2005,0.3146677694,0.7153622185,0.4639167276,4.995889829,2.307939235,3.987778062,1.573772645
Canada,CAN,NA,2006,0.3146023916,0.7151961372,0.4653797233,5.014462334,2.293863949,3.970254888,1.576908826
Canada,CAN,NA,2007,0.3144222128,0.7147616669,0.4670219394,5.056273011,2.268609582,3.949366182,1.580034605
Canada,CAN,NA,2008,0.3142232354,0.7142687067,0.4687370316,5.105764214,2.238376417,3.932311474,1.583230486
Canada,CAN,NA,2009,0.3140632865,0.7138606101,0.4695514439,5.146800503,2.213073907,3.918091121,1.586394837
Canada,CAN,NA,2010,0.314013632,0.7137048478,0.4703801145,5.163625209,2.195179799,3.911884849,1.58940412
Canada,CAN,NA,2011,0.3140819647,0.7138009881,0.4708919924,5.163594606,2.188104701,3.913974078,1.592539954
Canada,CAN,NA,2012,0.3142128407,0.7140265783,0.4717088737,5.164412993,2.187285511,3.919380699,1.596010021
Canada,CAN,NA,2013,0.3143877927,0.7143219499,0.472149298,5.16581078,2.19462037,3.926503378,1.599726717
Canada,CAN,NA,2014,0.3146173913,0.7147095399,0.4734264293,5.1679208,2.207245002,3.936199209,1.603800943
Canada,CAN,NA,2015,0.3149007223,0.7151994064,0.474343254,5.170797348,2.225149681,3.949641711,1.608215333
Canada,CAN,NA,2016,0.31523167,0.7157889392,0.4755923133,5.174358611,2.248352316,3.9674909,1.612934069
Canada,CAN,NA,2017,0.3155881045,0.7164133538,0.4773042772,5.178218395,2.276228814,3.988792073,1.617937042
China,CHN,AS,1990,0.3189235227,0.3145345308,0.08591780192,3.128625545,1.147396726,3.573965701,0.9818073564
China,CHN,AS,1991,0.3193909307,0.314987111,0.08702118355,3.132285583,1.155387681,3.572288321,1.006175181
China,CHN,AS,1992,0.3198782864,0.3154661379,0.08818286594,3.137312135,1.161279587,3.56873004,1.030312367
China,CHN,AS,1993,0.320380758,0.3159614398,0.08940490694,3.143258022,1.165176007,3.56211296,1.052846423
China,CHN,AS,1994,0.3208832458,0.3164515568,0.09079003221,3.149543999,1.16772612,3.55186863,1.072372971
China,CHN,AS,1995,0.3213471818,0.316898185,0.09220698467,3.155898325,1.16867494,3.537546745,1.087231791
China,CHN,AS,1996,0.3217992032,0.3173067656,0.09381883699,3.178563172,1.165593625,3.517615218,1.102867608
China,CHN,AS,1997,0.3222681155,0.3177059212,0.09577080516,3.22384161,1.157256344,3.494326144,1.122993357
China,CHN,AS,1998,0.3227563302,0.3181063856,0.09793011631,3.276265732,1.145215007,3.46964719,1.143543692
China,CHN,AS,1999,0.3232592605,0.3185128121,0.1001766402,3.320115508,1.132411192,3.446913,1.160306299
China,CHN,AS,2000,0.3237623768,0.3189152041,0.1024795074,3.33978392,1.120489662,3.429119342,1.168854466
China,CHN,AS,2001,0.3243776227,0.3194324147,0.1047500775,3.330393924,1.108134276,3.416192569,1.168667293
China,CHN,AS,2002,0.3251568146,0.3201035763,0.1074416609,3.303749733,1.093777348,3.405827577,1.164186948
China,CHN,AS,2003,0.3260119257,0.3208157774,0.1102028483,3.269052538,1.078632191,3.39733092,1.15840998
China,CHN,AS,2004,0.3268177295,0.3214351899,0.1131820398,3.235555293,1.064846914,3.390572632,1.154194764
