Entity,Code,Continent Code,Year,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population
Argentina,ARG,SA,1990,9.905556977,3341.923276,32619000
Argentina,ARG,SA,1991,10.20497866,3348.219014,33079000
Argentina,ARG,SA,1992,10.86540499,3354.29841,33529000
Argentina,ARG,SA,1993,11.0472131,3359.153953,33970000
Argentina,ARG,SA,1994,11.37251175,3364.956753,34403000
Argentina,ARG,SA,1995,11.58356574,3370.389402,34828000
Argentina,ARG,SA,1996,12.04204113,3377.079155,35246000
Argentina,ARG,SA,1997,12.28664484,3382.284688,35657000
Argentina,ARG,SA,1998,12.33248726,3384.666202,36063000
Argentina,ARG,SA,1999,12.53991077,3388.917095,36467000
Argentina,ARG,SA,2000,12.28835527,3390.49303,36871000
Argentina,ARG,SA,2001,12.46350279,3389.017385,37276000
Argentina,ARG,SA,2002,12.44992756,3385.965983,37682000
Argentina,ARG,SA,2003,11.83360221,3382.399584,38088000
Argentina,ARG,SA,2004,11.04560039,3378.925908,38492000
Argentina,ARG,SA,2005,10.89904752,3376.00328,38893000
Argentina,ARG,SA,2006,10.86698397,3372.917692,39290000
Argentina,ARG,SA,2007,11.18162893,3370.354133,39684000
Argentina,ARG,SA,2008,11.12339426,3367.607465,40080000
Argentina,ARG,SA,2009,11.04245788,3364.468167,40483000
Argentina,ARG,SA,2010,10.78392196,3363.831257,40896000
Argentina,ARG,SA,2011,10.90434089,3362.652622,41320000
Argentina,ARG,SA,2012,11.06427887,3362.245335,41755000
Argentina,ARG,SA,2013,11.07401041,3363.378544,42196000
Argentina,ARG,SA,2014,10.82028868,3364.701398,42638000
Argentina,ARG,SA,2015,10.57032058,3366.174123,43075000
Argentina,ARG,SA,2016,10.62744585,3367.801054,43508000
Argentina,ARG,SA,2017,10.60968195,3369.735146,43937000
Australia,AUS,AUS,1990,12.80008223,4172.446866,16961000
Australia,AUS,AUS,1991,12.6457467,4205.665607,17189000
Australia,AUS,AUS,1992,12.62696182,4233.005841,17402000
