Entity,Code,Continent Code,Year,20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
Argentina,ARG,SA,1990,4.770328653,1.749973449,3.506330656,4.508121035,4.365331186,4.031707097,4.514123136,4.772851784,3.569179857,4.501508396
Argentina,ARG,SA,1991,4.799720049,1.763866823,3.523245846,4.510200307,4.370201051,4.0571648,4.520121663,4.775260811,3.579067521,4.514937415
Argentina,ARG,SA,1992,4.831516415,1.776185265,3.539756348,4.513685858,4.368288994,4.08655611,4.537514175,4.777141504,3.588854632,4.528571197
Argentina,ARG,SA,1993,4.863525854,1.787641837,3.556388797,4.514129378,4.360194575,4.121602468,4.55033726,4.776109433,3.597365719,4.541223587
Argentina,ARG,SA,1994,4.913273482,1.80029144,3.574500285,4.512689625,4.361168723,4.146785973,4.562837714,4.777461818,3.606913186,4.554553472
Argentina,ARG,SA,1995,4.935035173,1.81119748,3.592569699,4.513666468,4.363682667,4.173363964,4.582231332,4.776486814,3.615923964,4.567667909
Argentina,ARG,SA,1996,4.973957291,1.822024443,3.613383689,4.506351456,4.378172152,4.205543707,4.595092694,4.776485064,3.626560304,4.585058048
Argentina,ARG,SA,1997,5.016838579,1.830383081,3.632951746,4.487469767,4.387979504,4.231694934,4.614835698,4.772297358,3.636296096,4.60291172
Argentina,ARG,SA,1998,5.049873674,1.840609692,3.649147182,4.465983787,4.389760087,4.257782448,4.635684165,4.763857234,3.643305809,4.617325538
Argentina,ARG,SA,1999,5.087692816,1.852912936,3.665150319,4.440423769,4.397637883,4.286349278,4.654858311,4.754025435,3.652057396,4.635011309
Argentina,ARG,SA,2000,5.112428118,1.860177883,3.676827419,4.415688416,4.399784877,4.316987238,4.667802733,4.747939677,3.657304606,4.645712862
Argentina,ARG,SA,2001,5.135720491,1.864094775,3.68589455,4.391976611,4.40063388,4.333494729,4.672339399,4.734468679,3.658839104,4.651713824
Argentina,ARG,SA,2002,5.158605085,1.870477148,3.693625019,4.372132147,4.395934252,4.364428565,4.682059072,4.709860345,3.65897137,4.657693702
Argentina,ARG,SA,2003,5.184051314,1.874490439,3.699543061,4.343039212,4.393008616,4.391635923,4.693302257,4.682942766,3.658181304,4.664315795
Argentina,ARG,SA,2004,5.197040499,1.87954518,3.705571846,4.317619904,4.39582168,4.41316628,4.706149083,4.662933292,3.657001679,4.667106211
Argentina,ARG,SA,2005,5.221393483,1.886301779,3.71305581,4.296015809,4.391599629,4.425334605,4.711769567,4.644329227,3.655549395,4.669473652
Argentina,ARG,SA,2006,5.227485684,1.892288964,3.722732826,4.281090745,4.393840051,4.439388805,4.710264701,4.630383237,3.653175208,4.668451334
Argentina,ARG,SA,2007,5.240633035,1.89921473,3.734533665,4.265284239,4.387567447,4.461613323,4.718492641,4.614738852,3.651585534,4.669587471
