Entity,Code,Continent Code,Year,Prevalence in males (%),Prevalence in females (%),Population
Argentina,ARG,SA,1990,2.556001097,4.506232711,32619000
Argentina,ARG,SA,1991,2.56992033,4.511358696,33079000
Argentina,ARG,SA,1992,2.581184709,4.51856376,33529000
Argentina,ARG,SA,1993,2.593766434,4.522171242,33970000
Argentina,ARG,SA,1994,2.605984658,4.528287191,34403000
Argentina,ARG,SA,1995,2.617062664,4.534625461,34828000
Argentina,ARG,SA,1996,2.629909604,4.542759306,35246000
Argentina,ARG,SA,1997,2.646286178,4.546216645,35657000
Argentina,ARG,SA,1998,2.65853317,4.548508681,36063000
Argentina,ARG,SA,1999,2.671349074,4.553914749,36467000
Argentina,ARG,SA,2000,2.680214934,4.556519348,36871000
Argentina,ARG,SA,2001,2.684920644,4.555894226,37276000
Argentina,ARG,SA,2002,2.687880707,4.554172882,37682000
Argentina,ARG,SA,2003,2.691358618,4.550222593,38088000
Argentina,ARG,SA,2004,2.692182808,4.548026356,38492000
Argentina,ARG,SA,2005,2.692027264,4.546235704,38893000
Argentina,ARG,SA,2006,2.691601918,4.54257348,39290000
Argentina,ARG,SA,2007,2.689624451,4.541579183,39684000
Argentina,ARG,SA,2008,2.689680264,4.538107797,40080000
Argentina,ARG,SA,2009,2.688059901,4.535165541,40483000
Argentina,ARG,SA,2010,2.689928399,4.534163978,40896000
Argentina,ARG,SA,2011,2.690574428,4.532848484,41320000
Argentina,ARG,SA,2012,2.692730299,4.532648812,41755000
Argentina,ARG,SA,2013,2.697053416,4.533971966,42196000
Argentina,ARG,SA,2014,2.698193402,4.539288314,42638000
Argentina,ARG,SA,2015,2.701201721,4.543529111,43075000
Argentina,ARG,SA,2016,2.703438511,4.548820135,43508000
Argentina,ARG,SA,2017,2.706938061,4.554033177,43937000
Australia,AUS,AUS,1990,3.74227775,5.476558834,16961000
Australia,AUS,AUS,1991,3.765658392,5.552784516,17189000
Australia,AUS,AUS,1992,3.784806893,5.618648228,17402000
Australia,AUS,AUS,1993,3.80145301,5.678346562,17603000
Australia,AUS,AUS,1994,3.813514659,5.723659986,17799000
Australia,AUS,AUS,1995,3.823569156,5.752619745,17993000
Australia,AUS,AUS,1996,3.82094371,5.767829053,18189000
Australia,AUS,AUS,1997,3.807234129,5.780354921,18387000
